client_id,first_name,last_name,gender,age,geography,tenure_years,credit_score,salary_monthly_rub,balance_rub,n_products,has_credit_card,is_active_member,will_churn,churn_date
1,Ксения,Васильева,F,18,Регион,10,666,88078,192237,2,1,0,1,2026-01-02
2,Михаил,Морозов,M,33,Регион,9,739,30999,443911,3,0,0,0,
3,Ксения,Попова,F,18,Москва,4,661,50042,47626,2,1,0,1,2026-02-13
4,Ксения,Васильева,F,62,Москва,9,848,41879,9109,2,0,1,0,
5,Андрей,Лебедев,M,41,Москва,0,651,30000,0,1,1,1,0,
6,Мария,Петрова,F,40,Москва,2,785,120269,0,2,0,1,0,
7,Елена,Новикова,F,41,Москва,8,748,30000,9680,3,1,0,1,2026-01-28
8,Ольга,Соловьёва,F,45,Регион,10,803,30000,19291,3,1,1,1,2026-04-20
9,Александр,Соколов,M,50,Москва,1,847,105723,32514,2,1,1,0,
10,Дмитрий,Воробьёв,M,19,Москва,7,474,48976,204461,2,0,0,0,
11,Никита,Виноградов,M,54,Регион,1,677,50003,0,2,1,1,0,
12,Ирина,Соколова,F,53,Санкт-Петербург,8,639,50578,0,1,0,1,0,
13,Наталья,Богданова,F,37,Москва,9,661,114076,0,2,1,1,0,
14,Светлана,Попова,F,37,Москва,5,610,42998,154470,1,0,0,0,
15,Кирилл,Голубев,M,18,Регион,1,596,85566,478917,1,1,1,0,
16,Сергей,Попов,M,23,Москва,2,540,30191,0,2,1,1,0,
17,Анна,Лебедева,F,44,Регион,5,660,72986,0,3,0,0,1,2026-01-25
18,Кирилл,Семёнов,M,52,Регион,8,743,102911,0,1,1,0,0,
19,Татьяна,Волкова,F,47,Москва,5,601,139115,64404,1,1,0,0,
20,Елена,Кузнецова,F,37,Регион,5,617,30000,551212,1,1,0,0,
21,Наталья,Богданова,F,61,Москва,6,580,50110,16684,2,0,1,0,
22,Андрей,Морозов,M,50,Москва,10,551,156220,688989,3,1,1,0,
23,Дарья,Соловьёва,F,33,Москва,8,626,104101,446370,2,0,0,0,
24,Анна,Голубева,F,64,Регион,1,684,53135,31330,1,0,1,0,
25,Екатерина,Козлова,F,25,Москва,2,776,60011,68195,2,1,0,1,2026-03-15
26,Иван,Соколов,M,20,Москва,3,531,71554,22264,1,0,0,0,
27,Дмитрий,Воробьёв,M,33,Регион,2,647,47868,0,1,1,0,0,
28,Александр,Петров,M,29,Москва,8,768,83141,15114,2,1,1,0,
29,Михаил,Соловьёв,M,34,Регион,10,532,80363,11659,2,0,1,0,
30,Ксения,Козлова,F,48,Регион,6,777,30673,21924,2,1,1,0,
31,Елена,Соколова,F,38,Санкт-Петербург,9,606,44629,342562,2,0,0,0,
32,Татьяна,Петрова,F,38,Регион,4,721,45595,10592,1,1,0,1,2026-01-11
33,Андрей,Виноградов,M,39,Регион,7,628,51364,512636,1,1,0,0,
34,Сергей,Павлов,M,18,Москва,7,696,70398,295804,2,0,0,0,
35,Александр,Морозов,M,20,Регион,3,811,66722,0,4,1,1,0,
